Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50087214;D;D;D
50028097;D;D;D
50098841;D;D;D
50885863;D;D;D
50012665;C2;C1;D
50088489;C2;C2;C1
50367870;B2;C2;C2
50298895;D;D;D
50747649;D;D;D
50222457;D;D;D
50081662;C2;C1;D
50109289;D;D;D
50109905;D;D;D
50098158;D;D;D
50114472;D;D;D
50069485;B2;B2;C1
50105315;D;D;D
50109290;D;D;D
50116764;D;D;D
50244469;D;D;D
50109291;D;D;D
50938789;D;D;D
50530798;D;D;D
50105316;D;D;D
50463225;D;D;D
50954644;D;D;D
50960164;D;D;D
50763490;D;D;D
50057680;C1;B2;C1
50101339;C2;D;D
50136143;D;D;D
50363484;D;D;D
50915193;D;D;D
50684876;D;D;D
50730681;D;D;D
50115137;D;D;D
50000298;C2;C2;C2
50057927;C1;B2;C2
50587137;D;D;D
50776967;D;D;D
50114904;D;D;D
50758519;D;D;D
50759418;D;D;D
50047846;D;D;D
50727591;D;D;D
50282468;D;D;D
50109465;D;D;D
50784234;D;D;D
50795775;D;D;D
50499009;D;D;D
50109661;D;D;D
50958828;D;D;D
50028466;C2;B2;C2
50040245;D;D;D
50109466;D;D;D
50845586;D;D;D
50103580;D;D;D
50569082;D;D;D
50724568;D;D;D
50000301;D;D;D
50061212;C2;C1;D
50685600;D;D;D
50062611;D;C1;D
50453254;D;D;D
50907050;D;D;D
50044750;D;D;D
50100218;C2;C2;C2
50033091;D;D;D
50180401;D;D;D
50912887;D;D;D
50105317;C2;C2;C2
50073078;C2;C2;C2
50093137;C2;C2;C2
50081668;B1;B1;C1
50068550;C2;C2;D
50089998;D;D;D
50082726;C1;C1;C1
50076793;C1;C1;C2
50100530;B2;B2;C2
50626485;D;D;D
50273000;D;D;D
50114446;D;D;D
50588966;D;D;D
50852833;D;C2;D
50056631;D;D;D
50910426;D;D;D
50037425;D;D;D
50073861;D;D;D
50067906;C2;D;D
50052369;D;D;D
50834916;D;D;D
50520792;D;D;D
50035198;B2;B2;C2
50114447;D;D;D
50252496;D;D;D
50767992;D;D;D
50123505;D;D;D
50010056;C2;C2;D
50036331;D;D;D
50325477;D;D;D
50025150;C2;C2;D
50043050;C2;C2;D
50070408;C2;C2;D
50785141;D;D;D
50099169;C2;C1;D
50082554;B2;C2;C1
50113449;D;D;D
50099849;D;D;D
50416375;D;D;D
50072283;C2;C2;C2
50454781;D;D;D
50726897;D;D;D
50019814;D;D;D
50045807;D;D;D
50083250;D;D;D
50082729;D;C2;D
50038025;C2;C2;C2
50034753;D;D;D
50805134;D;D;D
50111095;C1;C1;D
50289497;D;D;D
50002265;C2;C2;C2
50508903;D;D;D
50505785;D;D;D
50295578;D;D;D
50081740;B2;C1;C1
50066907;B2;B1;C1
50027021;C2;C2;C2
50904191;D;D;D
50115044;D;D;D
50073862;D;D;D
50024136;C1;C1;C2
50050965;B2;B2;C2
50052121;C2;C1;D
50002626;C1;C1;B2
50056632;C2;D;D
50108179;D;C2;D
50260812;D;D;D
50036997;C2;D;C2
50931776;D;D;D
50109648;D;D;D
50116109;D;D;D
50022235;D;D;D
50607170;D;D;D
50111099;D;D;D
50105095;D;C2;D
50458027;D;D;D
50939939;D;D;D
50278665;D;D;D
50107286;D;D;D
50419579;D;D;D
50845004;D;D;D
50084951;D;D;D
50372238;D;D;D
50085440;D;D;D
50085443;D;D;D
50085441;D;D;D
50085442;D;D;D
50084930;C2;C2;D
50695673;D;D;D
50181572;D;D;D
50723413;D;D;D
50639404;D;D;D
50824325;D;D;D
50104890;D;D;D
50408291;D;D;D
50084929;D;D;D
50084948;D;D;D
50520288;D;D;D
50084933;D;D;D
50629603;D;D;D
50539787;D;D;D
50084963;D;D;D
50109314;D;C2;D
50299786;D;D;D
50074733;D;D;D
50100377;D;D;D
50084952;D;D;D
50373382;D;D;D
50052088;D;C2;D
50059151;C2;C2;C2
50508458;D;D;D
50642162;D;D;D
50114403;D;D;D
50085099;D;D;D
50114402;D;D;D
50084962;D;D;D
50085312;D;D;D
50109977;D;D;D
50731599;D;D;D
50084945;D;D;D
50297392;D;D;D
50528637;D;D;D
50050352;D;D;D
50059153;D;D;D
50360841;D;D;D
50099822;D;D;C2
50449540;D;D;D
50857258;D;D;D
50855840;D;D;D
50233378;D;D;D
50259954;D;D;D
50084797;D;D;D
50232428;D;D;D
50642758;D;D;D
50810057;D;D;D
50084955;D;D;D
50084954;D;D;D
50996711;D;D;D
50812106;D;D;D
50725203;D;D;D
50084946;D;D;D
50109053;D;D;D
50080423;D;D;D
50084947;D;D;D
50084961;D;D;D
50871188;D;D;D
50283464;D;D;D
50107759;D;D;D
50015114;D;C2;D
50665650;D;D;D
50084958;D;D;D
50454544;D;D;D
50436635;D;D;D
50923463;D;D;D
50059343;D;C2;C2
50068167;D;D;D
50614347;D;D;D
50283030;D;D;D
50068402;D;D;D
50061807;D;D;D
50351133;D;D;D
50964623;D;D;D
50315072;D;D;D
50671839;D;D;D
50598732;D;D;D
50048216;D;D;D
50084688;D;D;D
50020909;D;D;D
50106781;D;D;D
50107462;D;D;D
50076199;D;D;D
50003207;D;D;D
50097559;C2;C1;D
50097561;D;D;D
50070692;D;D;D
50098732;D;D;D
50107578;D;D;D
50580493;D;D;D
50100535;D;D;D
50103921;D;D;D
50102807;D;D;D
50328123;D;D;D
50521012;D;D;D
50843443;D;D;D
50109528;D;D;D
50473751;D;D;D
50901001;D;D;D
50499742;D;D;D
50059803;D;D;D
50851047;D;D;D
50087157;D;D;D
50912518;D;D;D
50938517;D;D;D
50115845;D;D;D
50634283;D;D;D
50107577;D;D;D
50003828;D;D;D
50105171;C2;C2;D
50108800;C2;C2;D
50104740;D;D;D
50629476;D;D;D
50016104;C2;C2;C2
50578979;D;D;D
50165763;D;D;D
50216171;D;D;D
50977598;D;D;D
50834290;D;D;D
50094323;C2;C2;C2
50099814;D;D;D
50948806;D;D;D
50224808;D;D;D
50051268;D;D;D
50110616;D;C2;D
50585835;D;D;D
50099188;C2;C2;C2
50439154;D;D;D
50935739;D;D;D
50113989;D;D;D
50617559;D;D;D
50116084;D;D;D
50099323;C2;C2;C2
50112719;D;D;D
50905333;D;D;D
50097301;D;C2;D
50002775;D;D;D
50764349;D;D;D
50434403;D;D;D
50405446;D;D;D
50895990;D;D;D
50111543;D;D;D
50111545;D;D;D
50106550;D;D;D
50184105;D;D;D
50578359;D;D;D
50199617;D;D;D
50275704;D;D;D
50682423;D;D;D
50185500;D;D;D
50771825;D;D;D
50928090;D;D;D
50094958;C2;C2;D
50108075;D;D;D
50096936;C2;C2;C2
50107583;D;D;D
50191640;D;D;D
50827367;D;D;D
50097562;B2;B2;C2
50109294;C2;C2;C2
50527754;D;D;D
50350900;D;D;D
50243446;D;D;D
50102801;D;D;D
50448404;D;D;D
50102296;D;D;D
50106383;D;D;D
50115141;D;D;D
50779435;D;D;D
50280287;D;D;D
50725769;D;D;D
50109536;D;D;D
50024804;C2;C2;C2
50249053;D;D;D
50364944;D;D;D
50564285;D;D;D
50477560;D;D;D
50600834;D;D;D
50032373;B2;C1;C2
50999648;D;D;D
50989332;D;D;D
50775014;D;D;D
50592750;D;D;D
50784498;D;D;D
50575015;D;D;D
50437224;D;D;D
50978659;D;D;D
50565818;D;D;D
50114141;D;D;D
50835912;D;D;D
50104985;D;D;D
50094324;C2;C2;C2
50875817;D;D;D
50094771;D;D;D
50104177;C2;C2;D
50228544;D;D;D
50974467;D;D;D
50742809;D;D;D
50364103;D;D;D
50104988;D;D;D
50651226;D;D;D
50102805;D;D;D
50087691;D;D;D
50104984;D;D;D
50244914;D;D;D
50918397;D;D;D
50512714;D;D;D
50402994;D;D;D
50735950;D;D;D
50455184;D;D;D
50893599;D;D;D
50707221;D;D;D
50136003;D;D;D
50060740;D;D;D
50862243;D;D;D
50090945;C2;D;C2
50094299;D;D;D
50730274;D;D;D
50764675;D;D;D
50045042;C1;C2;C1
50777890;D;D;D
50390147;D;D;D
50102297;D;D;D
50340867;D;D;D
50072445;D;D;D
50177419;D;D;D
50094776;C2;C2;D
50068895;D;D;D
50050558;D;D;D
50303171;D;D;D
50183931;D;D;D
50584049;D;D;D
50115142;D;D;D
50109295;C2;C2;C2
50109534;D;D;D
50103913;C2;C2;D
50106382;D;D;D
50122134;D;D;D
50087991;C1;C1;C2
50116087;D;D;D
50785672;D;D;D
50106385;D;D;D
50097304;C2;C1;D
50785648;D;D;D
50803301;D;D;D
50106388;D;D;D
50365541;D;D;D
50113264;D;D;D
50140612;D;D;D
50110283;D;D;D
50178695;D;D;D
50500546;D;D;D
50110607;D;D;D
50011271;C1;C1;C2
50094774;B2;B1;B2
50155458;D;D;D
50110618;D;D;D
50096938;D;D;D
50096937;D;D;D
50572679;D;D;D
50138413;D;D;D
50393723;D;D;D
50158287;D;D;D
50658468;D;D;D
50057693;C2;C1;C2
