player_playerId,team_teamName,club_clubName
50630415,"4Ghent 1D","4GHENT BC"
50102716,"4Ghent 1D","4GHENT BC"
50063844,"4Ghent 1D","4GHENT BC"
50085131,"4Ghent 1D","4GHENT BC"
50100231,"Beveren 1H","BEVEREN BC"
50090246,"Beveren 1H","BEVEREN BC"
50079541,"Beveren 1H","BEVEREN BC"
50113907,"Beveren 1H","BEVEREN BC"
50319957,"Buggenhout 1D","BADMINTON BUGGENHOUT VZW"
50974181,"Buggenhout 1D","BADMINTON BUGGENHOUT VZW"
50095528,"Buggenhout 1D","BADMINTON BUGGENHOUT VZW"
50111184,"Buggenhout 1D","BADMINTON BUGGENHOUT VZW"
50711563,"Buggenhout 1H","BADMINTON BUGGENHOUT VZW"
51989476,"Buggenhout 1H","BADMINTON BUGGENHOUT VZW"
50221051,"Buggenhout 1H","BADMINTON BUGGENHOUT VZW"
50106729,"Buggenhout 1H","BADMINTON BUGGENHOUT VZW"
50103314,"Buggenhout 2D","BADMINTON BUGGENHOUT VZW"
50086369,"Buggenhout 2D","BADMINTON BUGGENHOUT VZW"
50085535,"Buggenhout 2D","BADMINTON BUGGENHOUT VZW"
50082870,"Buggenhout 2D","BADMINTON BUGGENHOUT VZW"
50711563,"Buggenhout 2G","BADMINTON BUGGENHOUT VZW"
50221051,"Buggenhout 2G","BADMINTON BUGGENHOUT VZW"
50319957,"Buggenhout 2G","BADMINTON BUGGENHOUT VZW"
50082870,"Buggenhout 2G","BADMINTON BUGGENHOUT VZW"
50017352,"Buggenhout 3G","BADMINTON BUGGENHOUT VZW"
50080535,"Buggenhout 3G","BADMINTON BUGGENHOUT VZW"
50086369,"Buggenhout 3G","BADMINTON BUGGENHOUT VZW"
50085535,"Buggenhout 3G","BADMINTON BUGGENHOUT VZW"
50041396,"De Mintons 1D","badmintonclub De Mintons Sint-Niklaas"
50034255,"De Mintons 1D","badmintonclub De Mintons Sint-Niklaas"
50062957,"De Mintons 1D","badmintonclub De Mintons Sint-Niklaas"
50081119,"De Mintons 1D","badmintonclub De Mintons Sint-Niklaas"
50091754,"De Mintons 1G","badmintonclub De Mintons Sint-Niklaas"
50100351,"De Mintons 1G","badmintonclub De Mintons Sint-Niklaas"
50062957,"De Mintons 1G","badmintonclub De Mintons Sint-Niklaas"
50081119,"De Mintons 1G","badmintonclub De Mintons Sint-Niklaas"
50091754,"De Mintons 1H","badmintonclub De Mintons Sint-Niklaas"
50114546,"De Mintons 1H","badmintonclub De Mintons Sint-Niklaas"
50100351,"De Mintons 1H","badmintonclub De Mintons Sint-Niklaas"
50070610,"De Mintons 1H","badmintonclub De Mintons Sint-Niklaas"
50081730,"Dendermondse 1G","DENDERMONDSE BC"
50049627,"Dendermondse 1G","DENDERMONDSE BC"
50098312,"Dendermondse 1G","DENDERMONDSE BC"
50055958,"Dendermondse 1G","DENDERMONDSE BC"
50081730,"Dendermondse 1H","DENDERMONDSE BC"
50091205,"Dendermondse 1H","DENDERMONDSE BC"
50041626,"Dendermondse 1H","DENDERMONDSE BC"
50049627,"Dendermondse 1H","DENDERMONDSE BC"
50050498,"Gentse 1G","GENTSE BC"
50043697,"Gentse 1G","GENTSE BC"
50085479,"Gentse 1G","GENTSE BC"
50095072,"Gentse 1G","GENTSE BC"
50112464,"Hoge Wal 1D","HOGE WAL BC"
50085590,"Hoge Wal 1D","HOGE WAL BC"
50860119,"Hoge Wal 1D","HOGE WAL BC"
50104047,"Hoge Wal 1D","HOGE WAL BC"
50062932,"Landegem 1G","LANDEGEM BC"
50102402,"Landegem 1G","LANDEGEM BC"
50103886,"Landegem 1G","LANDEGEM BC"
50093316,"Landegem 1G","LANDEGEM BC"
50062932,"Landegem 1H","LANDEGEM BC"
50112157,"Landegem 1H","LANDEGEM BC"
50102402,"Landegem 1H","LANDEGEM BC"
50111402,"Landegem 1H","LANDEGEM BC"
50063677,"Latem-De Pinte 1D","Badmintonclub Latem-De Pinte"
50114263,"Latem-De Pinte 1D","Badmintonclub Latem-De Pinte"
50098161,"Latem-De Pinte 1D","Badmintonclub Latem-De Pinte"
