player_playerId,team_teamName,club_clubName
50032467,"4Ghent 1D","4Ghent BC"
50063844,"4Ghent 1D","4Ghent BC"
50085131,"4Ghent 1D","4Ghent BC"
50102716,"4Ghent 1D","4Ghent BC"
50082870,"Buggenhout 1D","Buggenhout Badminton"
50086369,"Buggenhout 1D","Buggenhout Badminton"
50087383,"Buggenhout 1D","Buggenhout Badminton"
50095528,"Buggenhout 1D","Buggenhout Badminton"
50071942,"Buggenhout 1G","Buggenhout Badminton"
50086369,"Buggenhout 1G","Buggenhout Badminton"
50095528,"Buggenhout 1G","Buggenhout Badminton"
50098624,"Buggenhout 1G","Buggenhout Badminton"
50061319,"Buggenhout 1H","Buggenhout Badminton"
50071942,"Buggenhout 1H","Buggenhout Badminton"
50097074,"Buggenhout 1H","Buggenhout Badminton"
50098624,"Buggenhout 1H","Buggenhout Badminton"
50017352,"Buggenhout 2G","Buggenhout Badminton"
50061319,"Buggenhout 2G","Buggenhout Badminton"
50085535,"Buggenhout 2G","Buggenhout Badminton"
50087383,"Buggenhout 2G","Buggenhout Badminton"
50062957,"De Mintons 1D","De Mintons BC"
50081119,"De Mintons 1D","De Mintons BC"
50085317,"De Mintons 1D","De Mintons BC"
50095655,"De Mintons 1D","De Mintons BC"
50000829,"De Mintons 1H","De Mintons BC"
50063793,"De Mintons 1H","De Mintons BC"
50091754,"De Mintons 1H","De Mintons BC"
50106729,"De Mintons 1H","De Mintons BC"
50037470,"Eikenlo 1G","Eikenlo BC"
50062932,"Eikenlo 1G","Eikenlo BC"
50077516,"Eikenlo 1G","Eikenlo BC"
50085590,"Eikenlo 1G","Eikenlo BC"
50093307,"Landegem 1D","Landegem BC"
50093316,"Landegem 1D","Landegem BC"
50103886,"Landegem 1D","Landegem BC"
50507818,"Landegem 1D","Landegem BC"
50042022,"Latem-de Pinte 1G","Latem-De Pinte BC"
50055239,"Latem-de Pinte 1G","Latem-De Pinte BC"
50063677,"Latem-de Pinte 1G","Latem-De Pinte BC"
50093319,"Latem-de Pinte 1G","Latem-De Pinte BC"
50050689,"Latem-de-Pinte 1D","Latem-De Pinte BC"
50063677,"Latem-de-Pinte 1D","Latem-De Pinte BC"
50093319,"Latem-de-Pinte 1D","Latem-De Pinte BC"
50095001,"Latem-de-Pinte 1D","Latem-De Pinte BC"
50042022,"Latem-de-Pinte 1H","Latem-De Pinte BC"
50055239,"Latem-de-Pinte 1H","Latem-De Pinte BC"
50071120,"Latem-de-Pinte 1H","Latem-De Pinte BC"
50085193,"Latem-de-Pinte 1H","Latem-De Pinte BC"
50047418,"Lokerse 1D","Lokerse BC"
50054429,"Lokerse 1D","Lokerse BC"
50063996,"Lokerse 1D","Lokerse BC"
50066069,"Lokerse 1D","Lokerse BC"
50069103,"Lokerse 1H","Lokerse BC"
50069710,"Lokerse 1H","Lokerse BC"
50080698,"Lokerse 1H","Lokerse BC"
50081942,"Lokerse 1H","Lokerse BC"
50066792,"Lokerse 2D","Lokerse BC"
50073589,"Lokerse 2D","Lokerse BC"
50078176,"Lokerse 2D","Lokerse BC"
50096749,"Lokerse 2D","Lokerse BC"
50054429,"Lokerse 2G","Lokerse BC"
50081966,"Lokerse 2G","Lokerse BC"
50093831,"Lokerse 2G","Lokerse BC"
50116450,"Lokerse 2G","Lokerse BC"
50054590,"Lokerse 2h","Lokerse BC"
50083975,"Lokerse 2h","Lokerse BC"
50101286,"Lokerse 2h","Lokerse BC"
50116450,"Lokerse 2h","Lokerse BC"
50066069,"Lokerse 3G","Lokerse BC"
50069710,"Lokerse 3G","Lokerse BC"
50081942,"Lokerse 3G","Lokerse BC"
50083838,"Lokerse 3G","Lokerse BC"
50021359,"Lokerse 3H","Lokerse BC"
50034201,"Lokerse 3H","Lokerse BC"
50074754,"Lokerse 3H","Lokerse BC"
50089845,"Lokerse 3H","Lokerse BC"
50049570,"Oudegem 1G","Oudegem BC"
50056359,"Oudegem 1G","Oudegem BC"
50073907,"Oudegem 1G","Oudegem BC"
50085973,"Oudegem 1G","Oudegem BC"
50053941,"Oudegem 2G","Oudegem BC"
50057130,"Oudegem 2G","Oudegem BC"
50084292,"Oudegem 2G","Oudegem BC"
50125451,"Oudegem 2G","Oudegem BC"
50068658,"Pluimplukkers 1D","Pluimplukkers BC"
50075943,"Pluimplukkers 1D","Pluimplukkers BC"
50081029,"Pluimplukkers 1D","Pluimplukkers BC"
50105178,"Pluimplukkers 1D","Pluimplukkers BC"
