Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50377418;D;D;D
50108678;D;D;D
50379348;D;D;D
50051706;D;D;D
50115396;D;D;D
50467115;D;D;D
50116081;D;D;D
50885383;C2;C2;D
50018051;D;D;D
50100465;D;D;D
50690183;D;D;D
50642367;D;D;D
50722158;D;D;D
50054520;D;D;D
50017595;C2;C2;D
50542230;D;D;D
50071239;D;D;D
50099659;B1;B1;B2
50035091;D;D;D
50319469;D;D;D
50019262;D;D;D
50988166;D;D;D
50099161;D;C2;D
50388320;D;D;D
50594907;D;D;D
50010310;D;D;D
50945335;D;D;D
50103796;D;D;D
50107978;D;D;D
50200275;D;D;D
50021069;D;D;D
50111102;D;D;D
50378082;D;D;D
50058944;D;D;D
50056239;C2;C2;D
50843265;D;D;D
50979736;D;D;D
50005639;D;C2;C2
50777262;D;D;D
50856987;D;D;D
50673785;D;D;D
50675273;D;D;D
50885537;D;D;D
50380842;D;D;D
50062001;C2;C2;C2
50096609;D;D;D
50951270;D;D;D
50259962;D;D;D
50222813;D;D;D
50891219;D;D;D
50402943;D;D;D
50065021;D;D;D
50807625;D;C2;D
50227319;D;D;D
50052644;D;D;D
50496859;D;D;D
50104498;D;D;D
50068017;D;D;D
50513591;D;D;D
50709119;D;D;D
50480243;D;D;D
50152254;D;D;D
50026264;D;D;D
50848208;D;D;D
50031589;D;C2;D
50963821;D;D;D
50264885;D;D;D
50005753;D;D;D
50018348;C2;D;D
50205455;D;D;D
50982613;D;D;D
50088093;C2;C2;C2
50824368;D;D;D
50835092;D;D;D
50030816;D;D;D
50272381;D;D;D
50108182;D;D;D
50620711;D;D;D
50837478;D;D;D
50911058;C2;C2;D
50104907;D;D;D
50459635;D;D;D
50345400;D;D;D
50741659;D;D;D
50974181;D;D;D
50121731;D;D;D
50058081;D;D;D
50514628;D;D;D
50635182;D;D;D
50793780;D;D;D
50083383;D;D;D
50166425;D;D;D
50464914;D;D;D
50098435;D;D;D
50845594;D;D;D
50906658;D;D;D
50385984;D;D;D
50038073;D;D;D
50050674;D;C2;D
50529919;D;D;D
50128310;D;D;D
50777912;D;D;D
50960881;D;D;D
50487280;D;D;D
50953931;D;D;D
50102641;D;D;D
50197398;D;D;D
50742337;D;D;D
50836722;D;D;D
50099592;D;D;D
50022756;D;D;D
50050209;D;D;D
50103552;D;D;D
50498487;D;D;D
50530755;C2;C2;C2
50313606;D;D;D
50870920;D;D;D
50952803;D;D;D
50001609;B2;B2;B2
50017952;C2;C2;C2
50440462;D;D;D
50018894;D;D;D
50060490;D;D;D
50667939;D;D;D
50018543;D;D;D
50115047;D;D;D
50052647;D;D;D
50000049;D;D;D
50034845;D;D;D
50810367;D;D;D
50553313;D;D;D
50108819;D;D;D
50685155;D;D;D
50005648;D;D;D
50027985;C2;C2;D
50100475;D;D;D
50041951;D;C2;D
50044801;D;D;D
50522159;D;D;D
50796658;D;D;D
50190849;D;D;D
50781553;D;D;D
50062275;D;D;D
50753592;D;D;D
50013054;D;D;D
50834908;D;D;D
50025005;C2;C2;D
50038602;D;D;D
50019125;D;D;D
50558390;D;D;D
50803018;D;D;D
50814443;D;D;D
50693662;D;D;D
50058440;C2;C2;D
50051708;D;D;D
50092580;D;D;D
50106988;D;D;D
50713388;D;D;D
50107977;D;D;D
50370995;D;D;D
50837435;D;D;D
50174894;D;D;D
50092794;D;D;D
50187961;D;D;D
50000141;D;D;D
50053249;C2;C1;C1
50037208;D;D;D
50099421;D;D;D
50102347;D;D;D
50021800;D;D;D
50000250;D;D;D
50045793;D;D;D
