Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50980130;D;D;D
50386522;D;D;D
50105411;C1;C2;D
50558056;D;D;D
50701592;D;D;D
50916785;D;D;D
50331620;D;D;D
50335162;D;D;D
50394630;D;D;D
50718908;D;D;D
50048938;D;C2;D
50641549;D;D;D
50764047;D;D;D
50112786;D;D;D
50290185;D;D;D
50153579;D;D;D
50399098;D;D;D
50074718;D;D;D
50091218;D;D;D
50091208;D;D;D
50091217;C2;C2;C2
50617362;D;D;D
50761714;D;D;D
50663003;D;D;D
50852892;D;D;D
50842404;D;D;D
50547976;D;D;D
50748599;D;D;D
50049084;D;D;D
50922645;D;D;D
50611526;D;D;D
50517678;D;D;D
50112827;C2;D;D
50113828;D;D;D
50057388;D;D;D
50106154;D;D;D
50039207;D;D;D
50108669;D;D;D
50130064;D;D;D
50526243;D;D;D
50036706;D;D;D
50112825;D;D;D
50107278;D;D;D
50054492;D;D;D
50076684;D;D;D
50878484;D;D;D
50340344;D;D;D
50059828;C2;C2;C2
50877224;D;D;D
50129430;D;D;D
50668161;D;D;D
50311166;D;D;D
50455907;D;D;D
50319175;D;D;D
50800566;D;D;D
50507672;D;D;D
50929208;D;D;D
50149695;D;D;D
50912488;D;D;D
50347314;D;D;D
50145991;D;D;D
50620762;D;D;D
50789899;D;D;D
50029071;C2;C2;C2
50079359;D;D;D
50027711;C2;C2;C2
50126644;D;D;D
50428365;D;D;D
50551310;D;D;D
50159968;D;D;D
50977237;D;D;D
50715046;D;D;D
50298445;D;D;D
50434845;D;D;D
50230530;D;D;D
50838474;D;D;D
50493264;D;D;D
50996428;D;D;D
50320602;D;D;D
50434497;D;D;D
50105393;D;D;D
50690795;D;D;D
50405748;D;D;D
50931652;D;D;D
50046555;D;D;D
50646877;D;D;D
50639471;D;D;D
50911430;D;D;D
50531417;D;D;D
50647830;D;D;D
50033812;D;D;D
50984993;D;D;D
50927922;D;D;D
50436546;D;D;D
50933418;D;D;D
50355813;D;D;D
50729713;D;D;D
50992732;D;D;D
50965654;D;D;D
50808958;D;D;D
50279831;D;D;D
50067256;D;D;D
50971727;D;D;D
50205064;D;D;D
50222104;D;D;D
50186914;D;D;D
50967207;D;D;D
50539108;D;D;D
50494341;D;D;D
50092911;D;D;D
50596675;D;D;D
50017933;D;D;D
50153323;D;D;D
50128108;D;D;D
50866540;D;D;D
50186116;D;D;D
50272454;D;D;D
50208659;D;D;D
50753258;D;D;D
50063982;D;D;D
50062807;D;D;D
50085386;D;D;D
50019156;C1;C1;C1
50108620;D;D;D
50064326;D;D;D
50051706;D;C2;D
50096596;D;D;D
50929283;D;D;D
50885383;D;C2;D
50018051;D;D;D
50100465;D;D;D
50103314;B1;B1;B2
50321145;D;D;D
50536443;D;D;D
50007197;D;D;D
50017595;C2;C1;C2
50101467;D;D;D
50406612;D;D;D
50071239;D;D;D
50099659;B1;B2;B1
50922742;D;D;D
50099096;D;D;D
50035091;D;D;D
50621483;D;D;D
50019262;D;D;D
50031456;D;D;D
50656805;D;D;D
50099161;D;D;D
50646435;D;D;D
50813358;D;D;D
50944177;D;D;D
50024864;D;D;D
50594907;D;D;D
50010310;D;D;D
50355031;D;D;D
50103796;D;D;D
50107978;D;D;D
50393804;D;D;D
50021069;D;D;D
50111102;D;D;D
50103550;D;D;D
50615300;D;D;D
50058944;D;D;D
50142364;D;D;D
50734474;D;D;D
50056239;C2;C2;D
50843265;D;D;D
50702718;D;D;D
50005639;C2;C2;C2
50948822;D;D;D
50211625;D;D;D
50200984;D;D;D
50062001;C2;C2;C2
50096609;D;D;D
50951270;D;D;D
50115517;D;D;D
50402943;D;D;D
50807625;C2;C2;D
50111740;C2;C2;D
50837087;D;D;D
50052644;D;D;D
50496859;D;D;D
50631640;D;D;D
50104498;D;D;D
50068017;D;D;D
50709119;D;D;D
50480243;D;D;D
50006107;C1;C1;C1
50026264;D;D;D
50031589;D;C2;D
50883852;D;D;D
50495836;D;D;D
50264885;D;D;D
50005753;D;D;D
50978322;D;D;D
50092344;D;D;D
50088093;D;D;D
50824368;D;D;D
50019056;D;D;D
50108182;D;D;D
50620711;D;D;D
50837478;D;D;D
50911058;C2;D;D
50720023;D;D;D
50264893;D;D;D
50104907;D;D;D
50109059;D;D;D
50243810;D;D;D
50741659;D;D;D
50043698;D;D;D
50121731;D;D;D
50058081;D;D;D
50464914;D;D;D
50098435;D;D;D
50906658;D;D;D
50385984;D;D;D
50038073;D;D;D
50050674;D;D;D
50777912;D;D;D
50487280;D;D;D
50675109;D;D;D
50783165;D;D;D
50005863;D;D;D
50377019;D;D;D
50103552;D;D;D
50103971;D;D;D
50470876;D;D;D
50530755;C2;C2;D
50099097;D;D;D
50923595;D;D;D
50214942;D;D;D
50000067;D;C2;D
50999990;D;D;D
50001592;B2;B2;B2
50001609;B2;B2;B2
50017952;C2;C2;C2
50440462;D;D;D
50018894;D;D;D
50060490;D;C2;D
50096608;D;D;D
50052647;D;D;D
50673440;D;D;D
50595245;D;D;D
50000049;D;D;D
50034845;D;C2;D
50195417;D;D;D
50108819;D;D;D
50027985;C2;C2;C2
50100475;D;D;D
50041951;C2;C2;C2
50044801;D;D;D
50057193;D;D;D
50250353;D;D;D
50781553;D;D;D
50096590;D;D;D
50138375;D;D;D
50062275;D;D;D
50839640;D;D;D
50054041;D;D;D
50013054;D;D;D
50056501;D;D;D
50025005;D;D;D
50885677;D;D;D
50132954;D;D;D
50038602;D;D;D
50019125;D;D;D
50052596;D;C2;D
50803018;D;D;D
50439715;D;D;D
50693662;D;D;D
50745565;D;D;D
50268430;D;D;D
50209728;D;D;D
50058440;C2;C2;C2
50051708;D;D;D
50092580;D;D;D
50048622;D;D;D
50106988;D;D;D
50315463;D;D;D
50107977;D;D;D
50370995;D;D;D
50092794;D;D;D
50060438;C1;C1;C2
50096930;D;D;D
50116774;D;D;D
50184482;D;D;D
50105718;C2;C2;D
50071559;D;C2;D
50049068;C2;C1;C2
50115224;D;D;D
50039572;C2;C1;C2
50109112;D;D;D
50106904;D;D;D
50018005;C1;C1;D
50114258;C2;D;D
50050320;C2;C1;C2
50078380;D;D;D
50058585;C2;C2;D
50053249;B2;B1;B2
50711563;D;D;D
50037208;D;D;D
50099421;D;D;D
50053467;D;D;D
50075563;B1;B1;C1
50013545;C1;B2;B2
50102347;D;D;D
50068981;C2;C2;C2
50021800;C2;C2;C2
50000250;C2;C2;C2
50045793;D;D;D
50098389;D;D;D
50085970;C2;C2;C2
50097071;D;D;D
50040097;D;D;D
50016360;C2;C1;C2
50109853;D;C2;D
50109854;C2;C2;D
50071006;D;D;D
50075018;D;D;D
50004887;D;C2;C2
50640658;D;C2;D
50052990;D;D;D
50077982;D;D;D
50106431;D;D;D
50101497;D;D;D
50035126;C2;C2;C2
50106432;D;C2;D
50056210;C2;C2;D
50048209;D;D;D
50100139;D;D;D
50106989;D;D;D
50099810;D;D;C2
50058550;D;D;D
50099618;D;D;D
50079453;C2;C1;C1
50090137;D;D;D
50064526;D;D;D
50110257;D;D;D
50816195;D;D;D
50139916;D;D;D
50099808;C2;C2;D
50077783;D;D;D
50103375;D;D;D
50062609;C2;C2;C2
50103196;D;C2;D
50099756;D;D;D
50438751;D;D;D
50099753;D;D;D
50097074;B1;C1;C1
50072265;C1;C1;C1
50102346;D;D;D
50070088;C1;C1;D
50116550;D;D;D
50103376;D;D;D
50073642;B1;B1;C1
50110259;D;D;D
50060591;B1;B1;C1
50099312;D;D;D
50088613;D;D;D
50078480;B2;B2;C2
50042625;B2;B2;B2
50100816;D;D;D
50009215;D;D;D
50080284;C2;C1;C2
50108163;D;D;D
50062017;D;D;D
50076916;D;D;D
50731890;D;D;D
50089280;D;D;D
50031218;D;D;D
50024402;D;D;D
50770101;D;D;D
50114571;D;D;D
50076254;D;D;D
50107818;D;D;D
50080767;D;D;D
50607162;D;D;D
50104507;D;D;D
50099669;D;D;D
50105657;D;D;D
50076257;D;D;D
50314114;D;D;D
50226800;D;D;D
50802046;D;D;D
50099668;D;D;D
50025815;D;D;D
50576992;D;D;D
50113390;D;D;D
50110114;D;D;D
50093585;D;D;D
50330721;D;D;D
50107534;D;D;D
50518895;D;D;D
50107598;D;D;D
50107536;D;D;D
50371258;D;D;D
50852248;D;D;D
50022398;C2;C2;C2
50648020;D;D;D
50084365;D;D;D
50285939;D;D;D
50107523;D;D;D
50107555;D;D;D
50072771;D;D;D
50107524;D;D;D
50107605;D;D;D
50432893;D;D;D
50381040;D;D;D
50660489;D;D;D
50610848;D;D;D
50107607;D;D;D
50107543;D;D;D
50110708;D;D;D
50113153;D;D;D
50827081;D;D;D
50484184;D;D;D
50645730;D;D;D
50685767;D;D;D
50107366;D;D;D
50107367;D;D;D
50081622;D;D;D
50107522;D;D;D
50107546;D;D;D
50854305;D;D;D
50107539;D;D;D
50121502;D;D;D
50457055;D;D;D
50107535;D;D;D
50435698;D;D;D
50049322;D;D;D
50047453;D;D;D
50500163;D;D;D
50696637;D;D;D
50239627;D;D;D
50107521;D;D;D
50039134;D;D;D
50783467;D;D;D
50535080;D;D;D
50102334;D;D;D
50038824;C2;C2;C2
50115695;D;D;D
50040575;C2;C2;C2
50054410;D;D;D
50078458;D;D;D
50332872;D;D;D
50070666;D;D;D
50034910;D;D;D
50066659;D;D;D
50066658;D;D;D
50940643;D;D;D
50093217;D;D;D
50859358;D;D;D
50249673;D;D;D
50535129;D;D;D
50794698;D;D;D
50098994;D;D;D
50098996;D;D;D
50078456;D;D;D
50069194;D;D;D
50544748;D;D;D
50052563;D;D;D
50106116;D;D;D
50111079;D;D;D
50522701;D;D;D
50102351;D;D;D
50690647;D;D;D
50083389;D;D;D
50937685;D;D;D
50070625;D;D;D
50104845;D;D;D
50615734;D;D;D
