Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50312707;D;D;D
50307959;D;D;D
50306758;D;D;D
50291416;D;D;D
50288601;D;D;D
50285645;D;D;D
50267434;D;D;D
50263269;D;D;D
50257579;D;D;D
50254731;D;D;D
50253050;D;D;D
50211471;D;D;D
50201263;D;D;D
50197797;D;D;D
50195697;D;D;D
50193090;D;D;D
50191012;D;D;D
50189417;D;D;D
50187848;D;D;D
50154605;D;D;D
50145223;D;D;D
50141708;D;D;D
50115902;D;D;D
50114918;D;D;D
50114915;D;D;D
50114913;D;D;D
50114912;D;D;D
50114911;D;D;D
50114902;D;D;D
50114901;D;D;D
50114900;D;D;D
50111752;D;D;D
50111751;D;D;D
50111749;D;D;D
50111744;D;D;D
50111742;D;D;D
50111740;D;D;D
50111739;D;D;D
50111737;D;D;D
50111733;D;D;D
50111731;D;D;D
50111730;D;D;D
50111726;D;D;D
50111724;D;D;D
50105985;D;D;D
50105984;D;D;D
50105983;D;D;D
50105981;D;D;D
50104559;D;D;D
50104558;D;D;D
50104236;D;D;D
50103365;D;D;D
50103363;D;D;D
50103361;D;C2;D
50103314;B2;B2;C1
50100934;D;D;D
50100933;D;D;D
50100652;D;D;D
50100651;D;D;D
50099876;D;D;D
50098624;B2;B2;C1
50098152;D;D;D
50098149;D;D;D
50098146;D;D;D
50098145;D;D;D
50098133;D;D;D
50093423;D;D;D
50093422;D;D;D
50092550;D;D;D
50092249;D;D;D
50091481;D;D;D
50090243;C1;C1;D
50089318;D;D;D
50087388;D;D;D
50087383;B1;B2;C1
50086782;D;D;D
50086645;D;D;D
50086369;B1;B2;B2
50085231;D;D;D
50084762;C2;B2;C2
50083659;D;D;D
50082870;B2;B2;B2
50081351;D;D;D
50080535;B2;B2;B2
50080152;C1;C1;C1
50079701;D;D;D
50078065;D;C2;D
50076749;D;D;D
50075975;D;D;D
50074506;D;D;D
50073855;D;D;D
50073003;C1;C1;D
50072355;D;D;D
50071766;C1;C1;C2
50071017;C1;C1;C1
50070765;D;D;D
50070747;D;D;D
50070740;D;D;D
50067963;C2;C1;D
50067657;C2;C2;D
50065394;D;D;D
50065305;D;D;D
50065123;C1;B2;B2
50058207;D;C2;D
50058105;D;D;D
50057822;D;D;D
50055915;D;D;D
50052494;D;D;D
50052362;D;D;D
50052107;C2;C1;C2
50051935;D;D;D
50051934;B2;B2;B2
50051933;B2;B2;B2
50051931;D;D;D
50051922;D;D;D
50050566;C2;C2;C2
50048490;B2;B2;B2
50046648;C1;C1;C1
50043049;D;C2;D
50042845;D;D;D
50042427;C2;C2;C2
50039440;B2;B2;B2
50037994;D;D;D
50025697;C2;C2;C2
50025696;D;D;D
50025695;D;D;D
50025694;C2;C2;C2
50025456;D;D;D
50024233;D;D;D
50024058;C2;C2;C2
50022388;C2;C2;C2
50019158;D;D;D
50018677;C1;C1;C1
50018676;C2;C2;C2
50018674;D;D;D
50017352;B2;B2;B2
50014951;C1;C1;C1
50012741;C1;C1;C1
50010931;C2;C2;C2
50010922;C1;B2;C1
50010293;B2;B2;B2
50009331;C2;C2;C2
50009095;D;D;D
50007319;C2;C2;C2
50005967;D;D;D
50003267;D;D;D
50992708;D;D;D
50987305;D;D;D
50976583;D;D;D
50952390;D;D;D
50948334;D;D;D
50934333;D;D;D
