player_playerId,team_teamName
50963368,Drive 3H
50963368,Drive 4G
50111402,Eikenlo 2H
50218654,Drive 4G
50463527,Drive 4H
50070372,Denderleeuw 2G
50065725,Pluimplukkers 4H
50065725,Pluimplukkers 8G
50093929,Pluimplukkers 6H
50064536,Wetteren 3H
50112657,De Nieuwe Snaar 1G
50005503,De Mintons 4H
50092877,De Mintons 2H
50112660,De Nieuwe Snaar 1H
50018408,Wetteren 2D
50093831,Lokerse 5G
50093831,Lokerse 5H
50021771,Smash For Fun 1H
50021771,Smash For Fun 2G
50070859,Smash For Fun 1D
50070859,Smash For Fun 1G
50034201,Lokerse 7H
50113861,Sentse 1D
50113861,Sentse 2G
50061849,Stekene 1D
50061849,Stekene 2G
50081431,Lokerse 6H
50083823,Drive 7H
50094924,Drive 2H
50094924,Drive 5G
50041964,NILSTON 1H
50047418,Lokerse 2D
50047418,Lokerse 6G
50082389,4GHENT 2D
50045765,Deinze 1G
50045765,Deinze 1H
50064767,4GHENT 2H
50064767,4GHENT 4G
50105410,Aalsterse 2H
50112464,Hoge Wal 1G
50103314,Buggenhout 1G
50061753,Lokerse 10H
50083975,Lokerse 4H
50083975,Lokerse 6G
50061137,Latem - De Pinte 4H
50066103,Latem - De Pinte 5H
50112655,De Nieuwe Snaar 1G
50112655,De Nieuwe Snaar 1H
50080643,Pluimplukkers 5H
50074754,Lokerse 6G
50074754,Lokerse 7H
50000420,Landegem 2G
50106212,VLA-BAD 3H
50027709,Drive 2D
50027709,Drive 3G
50109432,VLA-BAD 1D
50109432,VLA-BAD 2G
50054649,Stekene 1H
50054649,Stekene 2H
50054649,Stekene 3G
50084678,The Flying Shuttles 2G
50045969,Drive 1D
50045969,Drive 2G
50116755,Pluimplukkers 7G
50095147,Wetteren 5G
50097523,Stekene 1H
50097523,Stekene 2G
50093310,Landegem 1H
50093310,Landegem 2G
50109169,Wallabies 1D
50097054,Gentse 1D
50097054,Gentse 1G
50054589,Lokerse 11H
50016240,Beveren 2G
50016240,Beveren 2H
50075199,Wetteren 4H
50080026,Landegem 3H
50013637,Oudegem 5H
50073003,Buggenhout 3G
50073003,Buggenhout 3H
50041988,Flee Shuttle 1G
50041988,Flee Shuttle 1H
50072197,Gentse 5H
50015410,De Mintons 5H
50015410,De Mintons 6H
