Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50748599;D;D;D
50718908;D;D;D
50672452;D;D;D
50669451;C2;C2;D
50668161;D;D;D
50653164;D;D;D
50628623;D;D;D
50617362;D;D;D
50611526;D;D;D
50592963;D;D;D
50547976;D;D;D
50546678;D;D;D
50539736;D;D;D
50532464;D;D;D
50526243;D;D;D
50517678;D;D;D
50498037;D;D;D
50492306;D;D;D
50446274;D;D;D
50417134;D;D;D
50409840;D;D;D
50386522;D;D;D
50345710;D;D;D
50340344;D;D;D
50338927;D;D;D
50331620;D;D;D
50319337;D;D;D
50318586;D;D;D
50318322;D;D;D
50297317;D;D;D
50293737;D;D;D
50290444;D;D;D
50276735;D;D;D
50257102;D;D;D
50253999;D;D;D
50229575;D;D;D
50216430;D;D;D
50202820;D;D;D
50175009;D;D;D
50174045;D;D;D
50169424;D;D;D
50165976;D;D;D
50153579;D;D;D
50130064;D;D;D
50129341;D;D;D
50128388;D;D;D
50115645;D;D;D
50115644;D;D;D
50115640;D;D;D
50115302;D;D;D
50115301;D;D;D
50115296;D;D;D
50113938;D;D;D
50113828;D;D;D
50113827;D;D;D
50113825;D;D;D
50112827;D;D;D
50112825;D;D;D
50112378;D;D;D
50111242;D;D;D
50111239;D;D;D
50110788;D;D;D
50110787;D;D;D
50109961;D;D;D
50107949;D;D;D
50106154;D;D;D
50106152;D;D;D
50106151;D;D;D
50105418;D;D;D
50105414;D;D;D
50105411;C2;C2;D
50105410;C2;C2;D
50102254;D;D;D
50101669;D;D;D
50101064;D;D;D
50091218;D;D;D
50091217;C2;C2;C2
50091208;D;D;D
50085962;D;D;D
50085229;D;C2;D
50076684;D;D;D
50074747;D;D;D
50074718;D;D;D
50063284;D;D;D
50059828;C2;C2;C2
50059376;C2;C2;C2
50056355;C2;C2;C2
50049084;D;D;D
50048938;C2;C2;C2
50047682;C1;C1;D
50036706;D;D;D
50035892;D;D;D
50026156;D;D;D
50019564;D;D;D
50014446;C2;C2;C2
50014444;D;C2;D
50996428;D;D;D
50992732;D;D;D
50984993;D;D;D
50977237;D;D;D
50975846;D;D;D
50971727;D;D;D
50967207;D;D;D
50965654;D;D;D
50949047;D;D;D
50940694;D;D;D
50933418;D;D;D
50931652;D;D;D
50927922;D;D;D
50911430;D;D;D
50911015;D;D;D
50866540;D;D;D
50839608;D;D;D
50838474;D;D;D
50837257;D;D;D
50808958;D;D;D
50800566;D;D;D
50789899;D;D;D
50753258;D;D;D
50729713;D;D;D
50715046;D;D;D
50690795;D;D;D
50647830;D;D;D
50639471;D;D;D
50620762;D;D;D
50596675;D;D;D
50551310;D;D;D
50539108;D;D;D
50531417;D;D;D
50522590;D;D;D
50507672;D;D;D
50493264;D;D;D
50436546;D;D;D
50428365;D;D;D
50405748;D;D;D
50320602;D;D;D
50319175;D;D;D
50298445;D;D;D
50250094;D;D;D
50230530;D;D;D
50208659;D;D;D
50186116;D;D;D
50176617;D;D;D
50159968;D;D;D
50159100;D;D;D
50153323;D;D;D
50151045;D;D;D
50149695;D;D;D
50147455;D;D;D
50145991;D;D;D
50128108;D;D;D
50126644;D;D;D
50096300;D;D;D
50088743;D;D;D
50079359;D;D;D
50067256;D;D;D
50046555;D;D;D
50033812;D;D;D
50029071;C2;C2;C2
50027711;C2;C2;C2
50017933;D;D;D
50977342;D;D;D
50968475;D;D;D
50968246;D;D;D
50959646;D;D;D
50946684;D;D;D
50942476;D;D;D
50938215;D;D;D
50920146;D;D;D
50913867;D;D;D
50911872;D;D;D
50908529;D;D;D
50882481;D;D;D
50879987;D;D;D
50879634;D;D;D
50827227;D;D;D
50787608;D;D;D
50786709;D;D;D
50777750;D;D;D
50758926;C2;C2;C2
50753495;D;D;D
50752189;D;D;D
50745972;D;D;D
50737627;C1;C1;C1
50735470;D;D;D
50731920;D;D;D
50705261;D;D;D
50686836;D;D;D
50684698;D;D;D
50684612;D;D;D
50661663;D;D;D
